INTERNAL | System Time: 1741169146.9441 | Logical Clock: 1 | 
INTERNAL | System Time: 1741169147.1469 | Logical Clock: 2 | 
SEND to VM 1 | System Time: 1741169147.3477 | Logical Clock: 3 | Message Clock Sent: 2
SEND to VM 0 | System Time: 1741169147.5511 | Logical Clock: 4 | Message Clock Sent: 3
INTERNAL | System Time: 1741169147.7580 | Logical Clock: 5 | 
SEND to VMs 0, 1 | System Time: 1741169147.9601 | Logical Clock: 6 | Message Clock Sent: 5
INTERNAL | System Time: 1741169148.1670 | Logical Clock: 7 | 
INTERNAL | System Time: 1741169148.3699 | Logical Clock: 8 | 
INTERNAL | System Time: 1741169148.5967 | Logical Clock: 9 | 
INTERNAL | System Time: 1741169148.8000 | Logical Clock: 10 | 
INTERNAL | System Time: 1741169149.0017 | Logical Clock: 11 | 
INTERNAL | System Time: 1741169149.2047 | Logical Clock: 12 | 
SEND to VM 1 | System Time: 1741169149.4065 | Logical Clock: 13 | Message Clock Sent: 12
INTERNAL | System Time: 1741169149.6177 | Logical Clock: 14 | 
INTERNAL | System Time: 1741169149.8198 | Logical Clock: 15 | 
INTERNAL | System Time: 1741169150.0217 | Logical Clock: 16 | 
SEND to VM 0 | System Time: 1741169150.2229 | Logical Clock: 17 | Message Clock Sent: 16
INTERNAL | System Time: 1741169150.4260 | Logical Clock: 18 | 
INTERNAL | System Time: 1741169150.6288 | Logical Clock: 19 | 
INTERNAL | System Time: 1741169150.8304 | Logical Clock: 20 | 
SEND to VM 0 | System Time: 1741169151.0316 | Logical Clock: 21 | Message Clock Sent: 20
INTERNAL | System Time: 1741169151.2350 | Logical Clock: 22 | 
RECEIVE | System Time: 1741169151.4364 | Logical Clock: 23 | From VM 1, Queue Length: 0
SEND to VM 0 | System Time: 1741169151.6429 | Logical Clock: 24 | Message Clock Sent: 23
INTERNAL | System Time: 1741169151.8483 | Logical Clock: 25 | 
INTERNAL | System Time: 1741169152.0493 | Logical Clock: 26 | 
INTERNAL | System Time: 1741169152.2504 | Logical Clock: 27 | 
SEND to VMs 0, 1 | System Time: 1741169152.4516 | Logical Clock: 28 | Message Clock Sent: 27
INTERNAL | System Time: 1741169152.6569 | Logical Clock: 29 | 
INTERNAL | System Time: 1741169152.8578 | Logical Clock: 30 | 
SEND to VM 1 | System Time: 1741169153.0599 | Logical Clock: 31 | Message Clock Sent: 30
INTERNAL | System Time: 1741169153.2659 | Logical Clock: 32 | 
INTERNAL | System Time: 1741169153.4672 | Logical Clock: 33 | 
INTERNAL | System Time: 1741169153.6689 | Logical Clock: 34 | 
INTERNAL | System Time: 1741169153.8706 | Logical Clock: 35 | 
INTERNAL | System Time: 1741169154.0744 | Logical Clock: 36 | 
INTERNAL | System Time: 1741169154.2769 | Logical Clock: 37 | 
SEND to VM 1 | System Time: 1741169154.4786 | Logical Clock: 38 | Message Clock Sent: 37
SEND to VMs 0, 1 | System Time: 1741169154.6828 | Logical Clock: 39 | Message Clock Sent: 38
INTERNAL | System Time: 1741169154.9085 | Logical Clock: 40 | 
INTERNAL | System Time: 1741169155.1101 | Logical Clock: 41 | 
INTERNAL | System Time: 1741169155.3121 | Logical Clock: 42 | 
INTERNAL | System Time: 1741169155.5140 | Logical Clock: 43 | 
SEND to VM 1 | System Time: 1741169155.7156 | Logical Clock: 44 | Message Clock Sent: 43
SEND to VM 0 | System Time: 1741169155.9187 | Logical Clock: 45 | Message Clock Sent: 44
RECEIVE | System Time: 1741169156.1241 | Logical Clock: 46 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741169156.3272 | Logical Clock: 47 | 
INTERNAL | System Time: 1741169156.5287 | Logical Clock: 48 | 
INTERNAL | System Time: 1741169156.7300 | Logical Clock: 49 | 
INTERNAL | System Time: 1741169156.9311 | Logical Clock: 50 | 
RECEIVE | System Time: 1741169157.1487 | Logical Clock: 51 | From VM 0, Queue Length: 0
INTERNAL | System Time: 1741169157.3536 | Logical Clock: 52 | 
INTERNAL | System Time: 1741169157.5554 | Logical Clock: 53 | 
INTERNAL | System Time: 1741169157.7570 | Logical Clock: 54 | 
SEND to VM 1 | System Time: 1741169157.9582 | Logical Clock: 55 | Message Clock Sent: 54
RECEIVE | System Time: 1741169158.1780 | Logical Clock: 56 | From VM 0, Queue Length: 0
SEND to VM 1 | System Time: 1741169158.3828 | Logical Clock: 57 | Message Clock Sent: 56
INTERNAL | System Time: 1741169158.5892 | Logical Clock: 58 | 
