SEND to VM 0 | System Time: 1741192936.8848 | Logical Clock: 1 | Message Clock Sent: 0
INTERNAL | System Time: 1741192937.0919 | Logical Clock: 2 | 
SEND to VM 0 | System Time: 1741192937.2960 | Logical Clock: 3 | Message Clock Sent: 2
RECEIVE | System Time: 1741192937.5006 | Logical Clock: 4 | From VM 2, Queue Length: 0
SEND to VMs 0, 2 | System Time: 1741192937.7060 | Logical Clock: 5 | Message Clock Sent: 4
SEND to VM 2 | System Time: 1741192937.9112 | Logical Clock: 6 | Message Clock Sent: 5
SEND to VM 0 | System Time: 1741192938.1163 | Logical Clock: 7 | Message Clock Sent: 6
INTERNAL | System Time: 1741192938.3185 | Logical Clock: 8 | 
INTERNAL | System Time: 1741192938.5239 | Logical Clock: 9 | 
SEND to VMs 0, 2 | System Time: 1741192938.7265 | Logical Clock: 10 | Message Clock Sent: 9
SEND to VMs 0, 2 | System Time: 1741192938.9286 | Logical Clock: 11 | Message Clock Sent: 10
INTERNAL | System Time: 1741192939.1353 | Logical Clock: 12 | 
INTERNAL | System Time: 1741192939.3396 | Logical Clock: 13 | 
RECEIVE | System Time: 1741192939.5441 | Logical Clock: 16 | From VM 2, Queue Length: 0
SEND to VMs 0, 2 | System Time: 1741192939.7504 | Logical Clock: 17 | Message Clock Sent: 16
INTERNAL | System Time: 1741192939.9532 | Logical Clock: 18 | 
RECEIVE | System Time: 1741192940.1592 | Logical Clock: 19 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741192940.3642 | Logical Clock: 20 | 
INTERNAL | System Time: 1741192940.5692 | Logical Clock: 21 | 
INTERNAL | System Time: 1741192940.7716 | Logical Clock: 22 | 
INTERNAL | System Time: 1741192940.9724 | Logical Clock: 23 | 
INTERNAL | System Time: 1741192941.1780 | Logical Clock: 24 | 
INTERNAL | System Time: 1741192941.3838 | Logical Clock: 25 | 
INTERNAL | System Time: 1741192941.5886 | Logical Clock: 26 | 
RECEIVE | System Time: 1741192941.7913 | Logical Clock: 29 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741192941.9968 | Logical Clock: 30 | 
INTERNAL | System Time: 1741192942.1985 | Logical Clock: 31 | 
INTERNAL | System Time: 1741192942.4002 | Logical Clock: 32 | 
RECEIVE | System Time: 1741192942.6057 | Logical Clock: 34 | From VM 2, Queue Length: 0
RECEIVE | System Time: 1741192942.8114 | Logical Clock: 35 | From VM 0, Queue Length: 0
INTERNAL | System Time: 1741192943.0143 | Logical Clock: 36 | 
SEND to VM 0 | System Time: 1741192943.2160 | Logical Clock: 37 | Message Clock Sent: 36
RECEIVE | System Time: 1741192943.4215 | Logical Clock: 38 | From VM 2, Queue Length: 0
SEND to VM 0 | System Time: 1741192943.6253 | Logical Clock: 39 | Message Clock Sent: 38
INTERNAL | System Time: 1741192943.8304 | Logical Clock: 40 | 
INTERNAL | System Time: 1741192944.0352 | Logical Clock: 41 | 
SEND to VM 2 | System Time: 1741192944.2384 | Logical Clock: 42 | Message Clock Sent: 41
RECEIVE | System Time: 1741192944.4494 | Logical Clock: 43 | From VM 0, Queue Length: 0
INTERNAL | System Time: 1741192944.6557 | Logical Clock: 44 | 
RECEIVE | System Time: 1741192944.8658 | Logical Clock: 45 | From VM 0, Queue Length: 0
INTERNAL | System Time: 1741192945.0718 | Logical Clock: 46 | 
INTERNAL | System Time: 1741192945.2739 | Logical Clock: 47 | 
RECEIVE | System Time: 1741192945.4798 | Logical Clock: 48 | From VM 0, Queue Length: 0
INTERNAL | System Time: 1741192945.6852 | Logical Clock: 49 | 
INTERNAL | System Time: 1741192945.8892 | Logical Clock: 50 | 
INTERNAL | System Time: 1741192946.0931 | Logical Clock: 51 | 
INTERNAL | System Time: 1741192946.2949 | Logical Clock: 52 | 
RECEIVE | System Time: 1741192946.4965 | Logical Clock: 56 | From VM 2, Queue Length: 1
RECEIVE | System Time: 1741192946.7023 | Logical Clock: 57 | From VM 2, Queue Length: 1
RECEIVE | System Time: 1741192946.9039 | Logical Clock: 58 | From VM 0, Queue Length: 0
RECEIVE | System Time: 1741192947.1099 | Logical Clock: 60 | From VM 2, Queue Length: 1
RECEIVE | System Time: 1741192947.3158 | Logical Clock: 61 | From VM 0, Queue Length: 0
SEND to VM 2 | System Time: 1741192947.5208 | Logical Clock: 62 | Message Clock Sent: 61
SEND to VM 0 | System Time: 1741192947.7239 | Logical Clock: 63 | Message Clock Sent: 62
RECEIVE | System Time: 1741192947.9306 | Logical Clock: 65 | From VM 2, Queue Length: 0
RECEIVE | System Time: 1741192948.1319 | Logical Clock: 66 | From VM 2, Queue Length: 0
RECEIVE | System Time: 1741192948.3359 | Logical Clock: 67 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741192948.5423 | Logical Clock: 68 | 
INTERNAL | System Time: 1741192948.7475 | Logical Clock: 69 | 
INTERNAL | System Time: 1741192948.9530 | Logical Clock: 70 | 
SEND to VM 0 | System Time: 1741192949.1566 | Logical Clock: 71 | Message Clock Sent: 70
INTERNAL | System Time: 1741192949.3642 | Logical Clock: 72 | 
INTERNAL | System Time: 1741192949.5696 | Logical Clock: 73 | 
INTERNAL | System Time: 1741192949.7749 | Logical Clock: 74 | 
INTERNAL | System Time: 1741192949.9809 | Logical Clock: 75 | 
INTERNAL | System Time: 1741192950.1865 | Logical Clock: 76 | 
INTERNAL | System Time: 1741192950.3893 | Logical Clock: 77 | 
RECEIVE | System Time: 1741192950.5951 | Logical Clock: 80 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741192950.7971 | Logical Clock: 81 | 
SEND to VMs 0, 2 | System Time: 1741192951.0003 | Logical Clock: 82 | Message Clock Sent: 81
INTERNAL | System Time: 1741192951.2070 | Logical Clock: 83 | 
RECEIVE | System Time: 1741192951.4162 | Logical Clock: 85 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741192951.6220 | Logical Clock: 86 | 
RECEIVE | System Time: 1741192951.8268 | Logical Clock: 87 | From VM 2, Queue Length: 0
SEND to VM 2 | System Time: 1741192952.0319 | Logical Clock: 88 | Message Clock Sent: 87
INTERNAL | System Time: 1741192952.2392 | Logical Clock: 89 | 
SEND to VMs 0, 2 | System Time: 1741192952.4422 | Logical Clock: 90 | Message Clock Sent: 89
SEND to VMs 0, 2 | System Time: 1741192952.6624 | Logical Clock: 91 | Message Clock Sent: 90
INTERNAL | System Time: 1741192952.8757 | Logical Clock: 92 | 
RECEIVE | System Time: 1741192953.0806 | Logical Clock: 95 | From VM 2, Queue Length: 0
RECEIVE | System Time: 1741192953.2867 | Logical Clock: 96 | From VM 2, Queue Length: 0
SEND to VM 0 | System Time: 1741192953.4890 | Logical Clock: 97 | Message Clock Sent: 96
INTERNAL | System Time: 1741192953.6948 | Logical Clock: 98 | 
RECEIVE | System Time: 1741192953.8996 | Logical Clock: 100 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741192954.1050 | Logical Clock: 101 | 
RECEIVE | System Time: 1741192954.3104 | Logical Clock: 102 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741192954.5152 | Logical Clock: 103 | 
INTERNAL | System Time: 1741192954.7206 | Logical Clock: 104 | 
RECEIVE | System Time: 1741192954.9228 | Logical Clock: 105 | From VM 2, Queue Length: 1
RECEIVE | System Time: 1741192955.1281 | Logical Clock: 106 | From VM 2, Queue Length: 1
RECEIVE | System Time: 1741192955.3304 | Logical Clock: 107 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741192955.5359 | Logical Clock: 108 | 
INTERNAL | System Time: 1741192955.7415 | Logical Clock: 109 | 
SEND to VMs 0, 2 | System Time: 1741192955.9464 | Logical Clock: 110 | Message Clock Sent: 109
INTERNAL | System Time: 1741192956.1485 | Logical Clock: 111 | 
INTERNAL | System Time: 1741192956.3528 | Logical Clock: 112 | 
RECEIVE | System Time: 1741192956.5581 | Logical Clock: 115 | From VM 2, Queue Length: 0
SEND to VM 0 | System Time: 1741192956.7635 | Logical Clock: 116 | Message Clock Sent: 115
SEND to VMs 0, 2 | System Time: 1741192956.9694 | Logical Clock: 117 | Message Clock Sent: 116
INTERNAL | System Time: 1741192957.1760 | Logical Clock: 118 | 
