INTERNAL | System Time: 1741195232.3347 | Logical Clock: 1 | 
RECEIVE | System Time: 1741195232.5068 | Logical Clock: 2 | From VM 2, Queue Length: 0
SEND to VM 2 | System Time: 1741195232.6788 | Logical Clock: 3 | Message Clock Sent: 2
SEND to VMs 1, 2 | System Time: 1741195232.8521 | Logical Clock: 4 | Message Clock Sent: 3
SEND to VMs 1, 2 | System Time: 1741195233.0273 | Logical Clock: 5 | Message Clock Sent: 4
SEND to VM 1 | System Time: 1741195233.1987 | Logical Clock: 6 | Message Clock Sent: 5
SEND to VMs 1, 2 | System Time: 1741195233.3722 | Logical Clock: 7 | Message Clock Sent: 6
SEND to VM 2 | System Time: 1741195233.5450 | Logical Clock: 8 | Message Clock Sent: 7
SEND to VM 1 | System Time: 1741195233.7193 | Logical Clock: 9 | Message Clock Sent: 8
INTERNAL | System Time: 1741195233.8893 | Logical Clock: 10 | 
SEND to VM 2 | System Time: 1741195234.0617 | Logical Clock: 11 | Message Clock Sent: 10
SEND to VMs 1, 2 | System Time: 1741195234.2333 | Logical Clock: 12 | Message Clock Sent: 11
SEND to VM 1 | System Time: 1741195234.4066 | Logical Clock: 13 | Message Clock Sent: 12
INTERNAL | System Time: 1741195234.5793 | Logical Clock: 14 | 
SEND to VMs 1, 2 | System Time: 1741195234.7474 | Logical Clock: 15 | Message Clock Sent: 14
SEND to VM 1 | System Time: 1741195234.9220 | Logical Clock: 16 | Message Clock Sent: 15
SEND to VM 2 | System Time: 1741195235.0912 | Logical Clock: 17 | Message Clock Sent: 16
SEND to VMs 1, 2 | System Time: 1741195235.2664 | Logical Clock: 18 | Message Clock Sent: 17
SEND to VM 1 | System Time: 1741195235.4371 | Logical Clock: 19 | Message Clock Sent: 18
SEND to VM 2 | System Time: 1741195235.6098 | Logical Clock: 20 | Message Clock Sent: 19
SEND to VMs 1, 2 | System Time: 1741195235.7838 | Logical Clock: 21 | Message Clock Sent: 20
SEND to VMs 1, 2 | System Time: 1741195235.9573 | Logical Clock: 22 | Message Clock Sent: 21
SEND to VM 1 | System Time: 1741195236.1310 | Logical Clock: 23 | Message Clock Sent: 22
SEND to VM 1 | System Time: 1741195236.3046 | Logical Clock: 24 | Message Clock Sent: 23
SEND to VM 1 | System Time: 1741195236.4740 | Logical Clock: 25 | Message Clock Sent: 24
INTERNAL | System Time: 1741195236.6450 | Logical Clock: 26 | 
INTERNAL | System Time: 1741195236.8183 | Logical Clock: 27 | 
SEND to VM 2 | System Time: 1741195236.9889 | Logical Clock: 28 | Message Clock Sent: 27
INTERNAL | System Time: 1741195237.1590 | Logical Clock: 29 | 
SEND to VMs 1, 2 | System Time: 1741195237.3282 | Logical Clock: 30 | Message Clock Sent: 29
INTERNAL | System Time: 1741195237.5011 | Logical Clock: 31 | 
INTERNAL | System Time: 1741195237.6687 | Logical Clock: 32 | 
SEND to VM 2 | System Time: 1741195237.8409 | Logical Clock: 33 | Message Clock Sent: 32
INTERNAL | System Time: 1741195238.0149 | Logical Clock: 34 | 
SEND to VMs 1, 2 | System Time: 1741195238.1872 | Logical Clock: 35 | Message Clock Sent: 34
INTERNAL | System Time: 1741195238.3591 | Logical Clock: 36 | 
SEND to VMs 1, 2 | System Time: 1741195238.5297 | Logical Clock: 37 | Message Clock Sent: 36
SEND to VM 2 | System Time: 1741195238.7026 | Logical Clock: 38 | Message Clock Sent: 37
SEND to VM 2 | System Time: 1741195238.8754 | Logical Clock: 39 | Message Clock Sent: 38
SEND to VM 1 | System Time: 1741195239.0523 | Logical Clock: 40 | Message Clock Sent: 39
SEND to VM 2 | System Time: 1741195239.2213 | Logical Clock: 41 | Message Clock Sent: 40
SEND to VM 2 | System Time: 1741195239.3946 | Logical Clock: 42 | Message Clock Sent: 41
SEND to VM 2 | System Time: 1741195239.5638 | Logical Clock: 43 | Message Clock Sent: 42
SEND to VM 2 | System Time: 1741195239.7354 | Logical Clock: 44 | Message Clock Sent: 43
SEND to VM 2 | System Time: 1741195239.9093 | Logical Clock: 45 | Message Clock Sent: 44
SEND to VMs 1, 2 | System Time: 1741195240.0855 | Logical Clock: 46 | Message Clock Sent: 45
